X,Y,location_id,address_primary,city,state,zip,building_type_code,Service Area,Constructed,NeedsConstructed
-100.74154586,41.02088702,1052783017,12601 SADDLE RD,NORTH PLATTE,NE,69101,R,RA1/2,,X
-100.74048475,41.01855889,1052783023,12697 SADDLE RD,NORTH PLATTE,NE,69101,R,RA1/2,,X
-100.73964067,41.01854889,1453023058,2045 BROWN RD,NORTH PLATTE,NE,69101,X,RA1/2,,X
-100.73939064,41.01855789,1453023056,2065 BROWN RD,NORTH PLATTE,NE,69101,X,RA1/2,,X
-100.73912862,41.01855689,1453023057,2089 BROWN RD,NORTH PLATTE,NE,69101,X,RA1/2,,X
-100.73874558,41.01855189,1393858659,12696 HORSESHOE LN,NORTH PLATTE,NE,69101,X,RA1/2,,X
-100.73835154,41.01855289,1393858658,2155 BROWN RD,NORTH PLATTE,NE,69101,X,RA1/2,,X
-100.73803951,41.02031007,1052773751,12600 HORSESHOE LN,NORTH PLATTE,NE,69101,R,RA1/2,,X
-100.7379564,41.01854189,1052773766,12697 HORSESHOE LN BLDG 2,NORTH PLATTE,NE,69101,X,RA1/2,,X
-100.7379064,41.02254629,1052773767,12412 HORSESHOE LN,NORTH PLATTE,NE,69101,R,RA1/2,,X
-100.73659036,41.02029106,1052773735,12601 HORSESHOE LN,NORTH PLATTE,NE,69101,R,RA1/2,,X
-100.73640135,41.01923796,1052773755,12697 HORSESHOE LN,NORTH PLATTE,NE,69101,R,RA1/2,,X
-100.6759622,41.13172211,1052774549,267 S LONG SCHOOL RD,NORTH PLATTE,NE,69101,R,RA1/2,,X
-100.67559526,41.14754079,1052774557,1671 N LONG SCHOOL RD,NORTH PLATTE,NE,69101,R,RA1/2,,X
-100.67483919,41.13418045,1052774539,189 N LONG SCHOOL RD,NORTH PLATTE,NE,69101,R,RA1/2,,X
-100.67224093,41.14685862,1052774552,1676 N LONG SCHOOL RD,NORTH PLATTE,NE,69101,R,RA1/2,,X
-100.66984569,41.14452749,1052774555,7601 FORTUNE HLS,NORTH PLATTE,NE,69101,R,RA1/2,,X
-100.65914062,41.12975891,1052774527,267 S LONG SCHOOL RD BLDG 2,NORTH PLATTE,NE,69101,X,RA1/2,,X
-100.24286299,40.958428906168,1052791444,21321 S PECKHAM RD,GOTHENBURG,NE,69138,B,RA1/2,,X
-100.233995,40.95879081,1052791439,44697 E HIGHWAY 30,GOTHENBURG,NE,69138,R,RA1/2,,X
-100.22527323,40.950802046168,1052791445,132 E COUNTY LINE RD,GOTHENBURG,NE,69138,B,RA1/2,,X
-100.21362807,40.943480406168,1100439597,40870 HIGHWAY 30,GOTHENBURG,NE,69138,R,RA1/2,,X
-100.20187889,40.937481806168,1100442747,40920 HIGHWAY 30,GOTHENBURG,NE,69138,R,RA1/2,,X
-100.18647335,40.929758936168,1100440757,76601 ROAD 410,GOTHENBURG,NE,69138,R,RA1/2,,X
-99.83731744,40.13103014,1146068972,42698 HIGHWAY 89,BEAVER CITY,NE,68926,R,RA1/2,,X
-99.81366207,40.21879281,1146070721,42824 ROAD 717,EDISON,NE,68936,R,RA1/2,,X
-99.79761247,40.23341138,1146068598,28 ROAD 428,EDISON,NE,68936,B,RA1/2,,X
-99.76622333,40.21355139,1146070263,71651 ROAD 431,OXFORD,NE,68967,R,RA1/2,,X
-99.76354006,40.21334237,1451729454,71651 RD 431,OXFORD,NE,68967,R,RA1/2,,X
-99.7629739,40.21796873,1146070905,71650 ROAD 431,EDISON,NE,68936,B,RA1/2,,X
-99.74146285,40.18397233,1146069359,71450 ROAD 432,OXFORD,NE,68967,R,RA1/2,,X
-99.73910662,40.16231627,1146070136,43302 ROAD 713,OXFORD,NE,68967,B,RA1/2,,X
-99.73810152,40.1776417,1146069233,43221 ROAD 714,OXFORD,NE,68967,R,RA1/2,,X
-99.73744045,40.15079801,1393630975,71224 ROAD 432,BEAVER CITY,NE,68926,R,RA1/2,,X
-99.73734544,40.15008104,1146071391,71224 ROAD 432 BLDG 2,BEAVER CITY,NE,68926,R,RA1/2,,X
-99.73703941,40.15114615,1393630976,71224 ROAD 432 BLDG 2,OXFORD,NE,68967,R,RA1/2,,X
-99.7369733,40.15075201,1393630974,71224 ROAD 432,OXFORD,NE,68967,R,RA1/2,,X
-99.72853456,40.102917256168,1146068696,43288 ROAD 709,BEAVER CITY,NE,68926,R,RA1/2,,X
-99.72407311,40.16124816,1146068732,43301 ROAD 713,BEAVER CITY,NE,68926,R,RA1/2,,X
-99.72360607,40.21300034,1146070630,71652 ROAD 433,OXFORD,NE,68967,R,RA1/2,,X
-99.71780149,40.104397496168,1146070088,43333 ROAD 709,BEAVER CITY,NE,68926,B,RA1/2,,X
-99.71440115,40.077461806168,1146070574,70701 ROAD 434,STAMFORD,NE,68977,B,RA1/2,,X
-99.70781749,40.15936697,1146069419,71901 ROAD 434 BLDG 2,OXFORD,NE,68967,R,RA1/2,,X
-99.70739044,40.084021466168,1455102745,240 ROAD 434,BEAVER CITY,NE,68926,B,RA1/2,,X
-99.70732844,40.15944698,1455099739,71901 ROAD 434,OXFORD,NE,68967,B,RA1/2,,X
-99.70663937,40.15942698,1455100942,71901 ROAD 434 BLDG 3,OXFORD,NE,68967,B,RA1/2,,X
-99.70612832,40.15690063,1146070446,43396 DRIVE 712,OXFORD,NE,68967,R,RA1/2,,X
-99.70187389,40.16196813,1455100946,324 ROAD 713,OXFORD,NE,68967,B,RA1/2,,X
-99.68786249,40.1666686,1146068790,28 ROAD 435,OXFORD,NE,68967,B,RA1/2,,X
-99.6789565,40.1356415,1146070969,672 ROAD 435,OXFORD,NE,68967,B,RA1/2,,X
-99.6779284,40.11892083,1146068788,43547 ROAD 710,STAMFORD,NE,68977,R,RA1/2,,X
-99.67528923,40.17723776,1146070372,43555 ROAD 714,OXFORD,NE,68967,R,RA1/2,,X
-99.67141285,40.16224126,1146071425,43581 ROAD 713,OXFORD,NE,68967,R,RA1/2,,X
-99.66678938,40.1766416,1146070228,43601 ROAD 714,OXFORD,NE,68967,R,RA1/2,,X
-99.66651736,40.14054609,1146071162,43612 ROAD 436,OXFORD,NE,68967,B,RA1/2,,X
-99.6649061,40.13826086,1146071130,43612 ROAD 711,OXFORD,NE,68967,R,RA1/2,,X
-99.66453416,40.27872781,1413988736,322 ROAD 721,OXFORD,NE,68967,B,RA1/2,,X
-99.66334504,40.28222126,1451729264,1184 CENTRAL,OXFORD,NE,68967,R,RA1/2,,X
-99.65824553,40.26794173,1146071089,43651 ROAD 720,OXFORD,NE,68967,B,RA1/2,,X
